date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:59	100/100	---M-Z	200	added ('OK')	text/plain	etag:%223be3666640a0a719ade322d673110144%22	https://declann.framer.website/robots.txt		(from )
12:39:01	888005/888005	---M-Z	200	added ('OK')	text/html	etag:%2203b9c978ab95ec6af563130f4c67407f%22	https://declann.framer.website/	C:/Users/user/Desktop/C%20Web/declan/declann.framer.website/index.html	(from )
12:39:04	223/223	---M--	200	added ('OK')	image/png	etag:%22810193ede98443698ba6b54575e9cf3c%22	https://framerusercontent.com/sites/icons/default-favicon-light.v1.png	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/sites/icons/default-favicon-light.v1.png	(from https://declann.framer.website/)
12:39:05	227/227	---M--	200	added ('OK')	image/png	etag:%22e44c40138d977deec13c54928aec692d%22	https://framerusercontent.com/sites/icons/default-favicon-dark.v1.png	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/sites/icons/default-favicon-dark.v1.png	(from https://declann.framer.website/)
12:39:06	8598/8598	---M--	200	added ('OK')	image/png	etag:%2218abb0c2b2ff01a1658d805c5dd98278%22	https://framerusercontent.com/sites/icons/default-touch-icon.v3.png	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/sites/icons/default-touch-icon.v3.png	(from https://declann.framer.website/)
12:39:09	74718/74718	---MC-	200	added ('OK')	image/png	etag:%229b1ed11124161f4d1b1ba921edcb1a1b%22	https://framerusercontent.com/images/oOWm6yXzk4v6gVeeWqAyFVnQU.png?width=1920&height=1080	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/oOWm6yXzk4v6gVeeWqAyFVnQU88ac.png	(from https://declann.framer.website/)
12:39:13	138204/138204	---MC-	200	added ('OK')	image/jpeg	etag:%2209bbd1477d520b9fd49f9c3af4c42608%22	https://framerusercontent.com/images/PUD59c7varX4yBgQ8jD4avSASi8.jpg?width=720&height=1280	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/PUD59c7varX4yBgQ8jD4avSASi8e316.jpg	(from https://declann.framer.website/)
12:39:19	82597/82597	---MC-	200	added ('OK')	image/jpeg	etag:%2207e6d0597784af011afd6f928891dc37%22	https://framerusercontent.com/images/OMkiihLkvkhTAZj1mczPCyIdNhc.jpg?width=720&height=1280	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/OMkiihLkvkhTAZj1mczPCyIdNhce316.jpg	(from https://declann.framer.website/)
12:39:25	228555/228555	---MC-	200	added ('OK')	image/jpeg	etag:%22de37ce7d399b3295f364c07e3d33242e%22	https://framerusercontent.com/images/wBMn9TPQqmiOyLESWXPnCb280w.jpg?width=720&height=1280	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/wBMn9TPQqmiOyLESWXPnCb280we316.jpg	(from https://declann.framer.website/)
12:39:39	404814/404814	---M-Z	200	added ('OK')	text/html	etag:%224a343290e8ce87b23389efbea18ae703%22	https://declann.framer.website/contact	C:/Users/user/Desktop/C%20Web/declan/declann.framer.website/contact.html	(from https://declann.framer.website/)
12:39:56	2146/2146	---MC-	200	added ('OK')	image/png	etag:%22512d902945d8f5c0e927805c24d203d5%22	https://framerusercontent.com/images/wfveBp4CC208LYbfJecE1rZL50.png?width=581&height=108	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/wfveBp4CC208LYbfJecE1rZL50888c.png	(from https://declann.framer.website/)
12:40:01	65153/65153	---MC-	200	added ('OK')	image/png	etag:%22133395dbacb0b6a7c26c5a00c5dfda48%22	https://framerusercontent.com/images/mDl5kWwqr4JYD5LWJoNL9nrZPc.png?width=1332&height=1880	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/mDl5kWwqr4JYD5LWJoNL9nrZPc8d3b.png	(from https://declann.framer.website/)
12:40:12	35521/35521	---MC-	200	added ('OK')	image/png	etag:%22684a80133cd7132944a022595ac32679%22	https://framerusercontent.com/images/pi7C1kEK9JFVaMhY14puB3sLTyw.png?width=400&height=400	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/pi7C1kEK9JFVaMhY14puB3sLTyw12f3.png	(from https://declann.framer.website/)
12:40:31	115577/115577	---MC-	200	added ('OK')	image/jpeg	etag:%2229d6e70211db80bd3253d0dcf8b27769%22	https://framerusercontent.com/images/8aH0xqBMn3MjEsRC9ocMOyzEvs.jpeg?width=736&height=736	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/8aH0xqBMn3MjEsRC9ocMOyzEvsace0.jpg	(from https://declann.framer.website/)
12:40:59	185971/185971	---MC-	200	added ('OK')	image/png	etag:%22288c95f2c83836bd6b9331b7fd611794%22	https://framerusercontent.com/images/y6nsXyFCXVHybL6AG2drPt8Xug.png?width=896&height=1280	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/y6nsXyFCXVHybL6AG2drPt8Xug1c66.png	(from https://declann.framer.website/)
12:41:00	382310/382310	---MC-	200	added ('OK')	image/jpeg	etag:%22e525160f5a35f218506c5bea91f7178c%22	https://framerusercontent.com/images/s6uuT50JQKUxOZuocgprRBJnk.jpg?width=960&height=1280	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/s6uuT50JQKUxOZuocgprRBJnkb077.jpg	(from https://declann.framer.website/)
